industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Investment advising,Financial & insurance activities,United Kingdom,United Kingdom,Service, 1-9,2017,3.0,134.7,47.7,49.4,5.0,16.5,15.2,0.0,0.0,0.0,0.0,0.9,2.9
Accounting & auditing,Professional & technical services,Canada,Ontario,Service, 1-9,2024,1.0,82.1,15.4,4.7,5.6,14.2,33.6,2.1,0.0,5.0,0.0,1.0,1.8
Other business support,Administrative & support services,United Kingdom,Newcastle upon Tyne,Service, 1-9,2023,1.0,83.1,24.2,3.2,3.6,14.4,30.0,1.3,0.0,0.0,0.0,6.1,0.6
Furniture,Retail,Australia,New South Wales,Wholesale/Retail, 50-249,2024,1.0,120.5,42.6,4.3,33.1,16.3,23.3,0.0,0.0,0.0,0.0,0.8,4.7
Furniture,Retail,Australia,New South Wales,Wholesale/Retail, 50-249,2020,2.0,91.9,30.6,4.2,15.2,14.7,20.4,1.6,0.0,0.7,0.0,4.2,2.8
Furniture,Retail,Australia,New South Wales,Wholesale/Retail, 50-249,2017,3.0,83.9,37.0,0.0,16.4,8.5,20.1,0.4,0.0,0.0,0.0,1.5,2.9
Food products,Manufactured Goods,United Kingdom,Wiltshire,Manufacturing, 10-49,2024,1.0,94.7,16.0,3.8,31.5,14.2,24.4,3.0,0.5,0.3,0.0,0.6,4.4
Food products,Manufactured Goods,United Kingdom,Wiltshire,Manufacturing, 10-49,2019,2.0,82.0,13.9,3.8,29.3,6.7,23.8,2.6,0.5,0.2,0.0,0.6,3.0
Employment placement & HR,Administrative & support services,Netherlands The,South Holland,Service, 10-49,2021,1.0,82.3,17.2,4.7,4.6,17.6,25.5,2.1,0.0,3.6,0.0,6.7,0.1
Employment placement & HR,Administrative & support services,France,Paris,Service, 1-9,2020,1.0,89.3,21.8,3.6,9.7,16.5,24.3,3.1,0.0,0.0,0.0,10.1,3.0
Software publishing and SaaS platforms,"Information, communication & technology",France,Île-de-France,Service, 10-49,2025,1.0,89.3,19.4,12.1,5.4,18.6,21.1,2.8,0.0,0.4,0.0,9.1,1.1
Software publishing and SaaS platforms,"Information, communication & technology",France,Île-de-France,Service, 10-49,2021,2.0,102.4,18.8,32.3,5.1,18.0,17.7,2.7,0.0,0.0,0.0,7.6,1.1
Software publishing and SaaS platforms,"Information, communication & technology",France,Île-de-France,Service, 1-9,2018,3.0,107.3,27.8,30.9,8.7,9.6,30.1,0.0,0.0,0.0,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,Cheshire East,Service, 10-49,2024,1.0,96.5,26.4,3.9,9.1,19.0,34.4,0.0,0.0,0.7,0.0,2.8,1.4
Management consultant - for-profits,Professional & technical services,United Kingdom,Cheshire East,Service, 10-49,2021,2.0,85.3,15.7,4.1,5.5,16.5,37.0,2.2,0.0,1.0,0.0,2.9,2.7
Accommodation,Accommodation & food service,France,Île-de-France,Service, 10-49,2024,1.0,140.6,16.2,43.6,5.2,16.4,52.4,2.8,0.0,0.4,0.0,3.2,0.9
Management consultant - for-profits,Professional & technical services,Mexico,México,Service, 10-49,2024,1.0,108.0,15.5,30.1,9.2,20.5,22.9,1.7,0.0,0.4,0.0,7.4,1.2
Management consultant - for-profits,Professional & technical services,Mexico,CDMX,Service, 1-9,2020,2.0,95.4,12.6,27.8,4.8,16.9,22.8,1.8,0.0,0.2,0.0,8.3,0.5
Management consultant - for-profits,Professional & technical services,Mexico,CDMX,Service, 1-9,2016,3.0,104.4,12.3,38.7,5.9,15.2,30.0,0.5,0.0,0.9,0.0,0.9,2.9
Legal activities,Professional & technical services,Switzerland,Canton of Vaud,Service, 10-49,2024,1.0,95.1,17.9,3.6,16.0,18.9,30.4,2.4,0.0,1.2,0.0,4.4,5.2
Legal activities,Professional & technical services,Switzerland,Canton of Vaud,Service, 10-49,2020,2.0,80.9,15.3,2.7,13.8,15.9,24.2,2.3,0.0,1.0,0.0,5.3,4.5
Beverages,Manufactured Goods,Belgium,Brussels,Manufacturing, 10-49,2020,1.0,91.5,22.9,3.5,16.5,14.6,24.4,2.9,0.0,0.0,0.0,6.4,7.2
Computer programming services,"Information, communication & technology",Mexico,Miguel Hidalgo,Service, 10-49,2020,1.0,95.1,33.4,25.8,4.2,6.9,18.6,2.9,0.0,0.1,0.0,2.8,0.2
Solar panel installation,Energy,United States,California,Service with Significant Environmental Footprint, 10-49,2025,1.0,88.3,11.6,2.1,37.8,16.2,17.3,2.3,0.0,0.5,0.0,0.2,4.3
Solar panel installation,Energy,United States,California,Service with Significant Environmental Footprint, 10-49,2020,2.0,81.1,10.4,1.9,36.5,15.7,13.9,2.0,0.0,0.1,0.0,0.1,3.5
Solar panel installation,Energy,United States,California,Wholesale/Retail, 10-49,2016,3.0,109.8,19.9,0.0,47.7,17.0,23.7,0.0,0.0,0.0,0.0,1.5,2.9
Solar panel installation,Energy,United States,California,Service, 10-49,2014,4.0,99.8,24.4,0.0,33.5,12.6,26.4,0.8,0.0,0.5,0.0,1.2,2.9
Management consultant - for-profits,Professional & technical services,Netherlands The,Utrecht,Service, 50-249,2025,1.0,101.5,14.7,20.4,7.7,20.3,33.0,1.2,0.0,0.4,0.0,3.4,2.6
Management consultant - for-profits,Professional & technical services,Netherlands The,Utrecht,Service, 10-49,2019,2.0,112.0,14.0,27.2,7.4,22.1,32.8,1.6,0.0,0.5,0.0,6.1,2.4
Apparel,Manufactured Goods,Hong Kong S.A.R.,Wong Tai Sin,Manufacturing, 50-249,2024,1.0,82.0,16.2,1.5,15.5,15.9,28.1,2.4,0.0,1.0,0.0,1.0,4.4
"Other professional, scientific & tech",Professional & technical services,Spain,Catalonia,Service, 10-49,2024,1.0,111.1,18.2,1.8,42.3,22.3,21.2,0.0,0.0,0.9,0.0,4.1,6.5
Accounting & auditing,Professional & technical services,Taiwan,Taipei,Service, 250-999,2024,1.0,101.6,24.1,6.2,12.3,12.3,37.8,2.2,0.0,1.1,0.0,5.2,5.5
Accounting & auditing,Professional & technical services,Taiwan,Wugu Dist.,Service, 250-999,2020,2.0,91.1,23.1,5.3,13.4,9.8,26.9,2.0,0.0,1.2,0.0,9.2,4.7
Accounting & auditing,Professional & technical services,Taiwan,Wugu Dist.,Service, 50-249,2017,3.0,84.8,28.1,3.7,8.2,8.2,32.9,1.7,0.0,0.0,0.0,2.0,2.9
Accounting & auditing,Professional & technical services,Taiwan,Wugu Dist.,Service, 50-249,2015,4.0,100.3,37.5,10.1,6.7,10.7,32.4,1.4,0.0,0.2,0.2,0.7,2.9
Advertising & market research,Professional & technical services,United Kingdom,Powys,Service, 1-9,2024,1.0,117.6,21.0,27.7,4.9,19.9,32.5,3.0,0.0,4.4,0.0,3.8,1.1
Advertising & market research,Professional & technical services,United Kingdom,Powys,Service, 1-9,2021,2.0,116.6,25.6,23.0,4.4,18.9,35.3,3.4,0.0,4.0,0.0,1.7,0.6
"Other professional, scientific & tech",Professional & technical services,United Kingdom,Powys,Service, 10-49,2016,3.0,94.6,22.7,19.0,11.7,11.4,27.8,0.9,0.0,0.0,0.0,1.1,2.9
Investment advising,Financial & insurance activities,United States,New York,Service, 10-49,2024,1.0,122.0,18.8,45.2,4.4,15.8,30.5,2.4,1.7,0.8,0.0,1.6,0.1
Investment advising,Financial & insurance activities,United States,New York,Service, 10-49,2020,2.0,117.8,15.0,45.2,4.4,15.8,30.5,2.0,1.7,0.8,0.0,1.6,0.1
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 10-49,2024,1.0,81.4,20.8,5.3,5.7,15.5,27.6,2.3,0.0,1.4,0.0,2.4,1.3
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 1-9,2020,2.0,92.7,20.3,18.1,5.0,18.9,19.7,2.5,0.0,3.3,0.0,4.5,0.5
Other education,Education,Canada,British Columbia,Service, 10-49,2021,1.0,97.8,25.4,18.4,8.1,7.7,30.4,3.3,0.0,1.4,0.0,2.8,1.9
Other education,Education,Canada,British Columbia,Service, 1-9,2017,2.0,94.0,30.7,11.1,7.2,13.5,28.6,1.2,0.0,0.0,0.0,1.7,2.9
Apparel,Retail,United Kingdom,Devon,Wholesale/Retail, 10-49,2024,1.0,104.5,18.6,2.5,39.8,16.2,23.2,3.2,0.0,0.0,0.0,0.7,2.7
Apparel,Retail,United Kingdom,Devon,Wholesale/Retail, 10-49,2021,2.0,97.0,15.6,1.9,41.0,14.8,19.7,3.1,0.0,0.0,0.0,0.7,2.4
Apparel,Retail,United States,California,Wholesale/Retail, 1000+,2021,1.0,91.9,24.0,3.5,30.8,13.4,19.7,0.0,0.0,0.3,0.0,0.0,5.5
Apparel,Retail,United States,California,Wholesale/Retail, 1000+,2017,2.0,84.3,27.9,0.9,23.2,16.1,15.9,0.0,0.0,0.3,0.0,0.0,2.9
Advertising & market research,Professional & technical services,United States,Texas,Service, 50-249,2024,1.0,106.3,16.9,29.9,7.2,15.5,34.7,1.8,0.0,0.0,0.0,0.0,0.6
Electrical equipment,Retail,Australia,Victoria,Wholesale/Retail, 10-49,2024,1.0,82.9,16.6,3.0,29.6,14.4,16.1,1.1,0.0,0.0,0.0,1.7,5.9
Electrical equipment,Retail,Australia,Victoria,Wholesale/Retail, 1-9,2020,2.0,86.0,13.5,3.6,34.0,15.3,12.2,2.9,0.0,0.0,0.0,4.1,6.4
Materials recovery & recycling,Waste Management & Recycling,France,Île-de-France,Manufacturing, 10-49,2022,1.0,84.3,20.3,1.4,18.0,15.5,24.6,0.0,0.0,0.0,0.0,4.3,6.8
Growing non-perennial crops,"Agriculture, forestry & fishing",Colombia,Cundinamarca Department,Agriculture/Growers, 10-49,2024,1.0,106.4,42.0,3.6,15.8,17.5,12.1,2.3,0.0,6.6,0.0,6.2,4.1
Growing non-perennial crops,"Agriculture, forestry & fishing",Colombia,Cundinamarca Department,Agriculture/Growers, 10-49,2020,2.0,112.5,36.0,2.4,28.1,16.6,11.8,1.9,0.0,7.2,0.0,8.3,2.0
Growing non-perennial crops,"Agriculture, forestry & fishing",Colombia,Cundinamarca Department,Agriculture/Growers, 1-9,2016,3.0,90.4,46.3,0.0,11.5,11.1,12.8,1.3,0.0,5.2,0.0,2.2,2.9
Growing non-perennial crops,"Agriculture, forestry & fishing",Colombia,Cundinamarca Department,Agriculture/Growers, 1-9,2014,4.0,95.3,40.7,0.0,21.0,8.2,14.5,1.0,0.0,9.1,0.0,0.7,2.9
Agricultural Processing,"Agriculture, forestry & fishing",Italy,Bari,Manufacturing, 50-249,2020,1.0,85.4,18.1,6.9,22.7,14.8,18.0,0.0,0.0,0.8,0.0,3.9,6.8
"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of London,Service, 10-49,2024,1.0,118.0,17.8,2.1,12.3,17.2,62.8,2.3,0.0,0.0,0.0,3.1,3.8
Growing perennial crops,"Agriculture, forestry & fishing",Colombia,Valle del Cauca Department,Agriculture/Growers, 1000+,2019,1.0,84.7,14.0,3.5,32.9,9.0,15.6,2.9,0.0,0.4,0.0,6.1,3.2
Other recreation,"Arts, entertainment & recreation",Argentina,Neuquén Province,Service with Significant Environmental Footprint, 0,2024,1.0,105.4,66.7,2.7,18.2,10.6,23.9,3.9,0.0,3.0,0.0,1.7,0.3
Other recreation,"Arts, entertainment & recreation",Argentina,Neuquén,Service with Significant Environmental Footprint, 0,2020,2.0,98.5,72.3,11.3,1.3,7.0,23.9,3.7,0.0,2.6,0.0,1.7,0.0
Paper & paper products,Wholesale,Norway,Oslo,Wholesale/Retail, 1-9,2021,1.0,116.1,49.9,3.0,20.1,8.9,16.4,4.3,0.7,8.3,0.0,4.1,4.9
Apparel,Retail,United Kingdom,London Borough of Merton,Wholesale/Retail, 10-49,2024,1.0,95.5,40.7,2.7,12.8,13.9,21.2,2.7,0.0,0.3,0.0,0.8,4.4
Pharmaceutical products,Manufactured Goods,United States,Washington,Manufacturing, 250-999,2020,1.0,87.9,11.9,11.5,24.3,18.1,21.4,0.0,0.0,0.2,0.0,0.2,4.5
Employment placement & HR,Administrative & support services,United Kingdom,Surrey,Service, 0,2024,1.0,107.3,47.1,23.1,5.2,17.5,23.9,7.8,0.0,6.2,0.0,1.7,3.2
Environmental consulting,Professional & technical services,Switzerland,Canton of Geneva,Service, 50-249,2023,1.0,90.3,9.2,17.7,12.0,17.9,29.8,1.0,0.0,0.0,0.0,2.4,1.9
Other business support,Administrative & support services,Italy,Province of Belluno,Service, 1-9,2023,1.0,104.3,21.9,3.7,23.8,19.6,28.2,2.8,0.0,0.0,0.0,4.0,2.9
Real estate - leased property,"Real estate, design & building",Australia,Victoria,Service with Significant Environmental Footprint, 50-249,2024,1.0,112.5,14.6,3.7,36.6,14.1,28.6,1.5,0.0,11.1,0.0,2.0,6.5
Real estate - leased property,"Real estate, design & building",Australia,Victoria,Service with Significant Environmental Footprint, 50-249,2020,2.0,84.7,10.7,3.3,24.2,12.8,20.4,1.6,0.0,7.8,0.0,3.1,1.1
Real estate - leased property,"Real estate, design & building",Australia,Victoria,Wholesale/Retail, 10-49,2017,3.0,85.2,18.5,0.0,33.5,9.1,21.2,0.5,0.0,1.5,0.0,0.9,2.9
Real estate - leased property,"Real estate, design & building",Australia,Victoria,Service, 10-49,2015,4.0,104.2,30.2,0.0,34.2,9.6,26.4,1.1,0.0,0.0,0.0,2.7,2.9
Accounting & auditing,Professional & technical services,Netherlands The,South Holland,Service, 10-49,2024,1.0,86.3,21.9,2.4,4.9,18.5,35.1,0.5,0.0,0.0,0.0,2.8,1.2
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 10-49,2024,1.0,93.6,30.4,3.4,12.1,17.1,26.2,0.0,0.0,0.0,0.0,4.0,3.3
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 1-9,2020,2.0,88.1,26.5,5.2,7.9,16.9,22.8,0.0,0.0,0.5,0.0,8.0,2.4
Management consultant - for-profits,Professional & technical services,Chile,Santiago Metropolitan Region,Service, 1-9,2020,1.0,111.7,34.5,23.2,9.3,17.1,19.9,2.4,0.0,0.5,0.0,4.3,2.0
Management consultant - for-profits,Professional & technical services,Chile,Santiago Metropolitan Region,Service, 0,2017,2.0,88.8,18.7,50.0,3.3,14.4,23.9,0.9,0.0,1.5,0.0,1.7,2.9
Management consultant - for-profits,Professional & technical services,Chile,Santiago Metropolitan Region,Service, 1-9,2013,3.0,86.5,11.9,45.0,5.3,3.2,18.3,0.8,0.0,0.5,0.1,1.0,2.9
Pre- & primary education,Education,United Kingdom,London Borough of Lambeth,Service with Significant Environmental Footprint, 10-49,2023,1.0,91.7,8.5,31.6,5.7,12.9,23.7,1.9,0.0,6.2,0.0,0.8,1.9
Growing perennial crops,"Agriculture, forestry & fishing",Singapore,North West Community Development Council,Manufacturing, 50-249,2024,1.0,82.5,9.6,2.9,29.0,14.8,22.8,1.0,0.0,0.3,0.0,1.8,2.8
Growing perennial crops,"Agriculture, forestry & fishing",Singapore,Central Singapore Community Development Council,Manufacturing, 50-249,2020,2.0,97.1,12.8,3.1,29.3,14.8,30.8,1.4,0.0,0.5,0.0,4.0,2.2
Other education,Education,Argentina,Autonomous City Of Buenos Aires,Service with Significant Environmental Footprint, 0,2024,1.0,88.2,41.0,4.4,5.9,20.9,23.9,8.7,0.0,7.1,0.0,1.7,1.2
Other education,Education,Argentina,Autonomous City Of Buenos Aires,Service with Significant Environmental Footprint, 0,2021,2.0,105.8,39.6,23.7,5.9,20.9,23.9,8.4,0.0,7.1,0.0,1.7,1.2
Environmental consulting,Professional & technical services,United States,New York,Service, 10-49,2024,1.0,95.6,13.6,13.3,12.5,19.2,32.0,2.2,0.0,0.7,0.0,1.7,2.8
Environmental consulting,Professional & technical services,United States,New York,Service, 10-49,2020,2.0,88.5,14.5,12.1,16.6,16.7,19.2,2.1,0.0,4.8,0.0,2.0,2.5
Environmental consulting,Professional & technical services,United Kingdom,Northamptonshire,Service, 1-9,2020,1.0,84.1,12.5,18.3,1.7,16.6,25.9,2.0,0.0,1.5,0.0,5.2,0.0
Apparel,Retail,Netherlands The,South Holland,Wholesale/Retail, 0,2023,1.0,91.2,21.1,5.0,35.3,21.2,23.9,4.9,0.0,3.5,0.0,1.7,1.5
Membership organizations,Other services,Australia,Victoria,Service with Significant Environmental Footprint, 50-249,2020,1.0,82.4,13.5,5.5,11.9,10.0,18.7,1.9,0.6,13.4,0.0,6.6,4.5
Membership organizations,Other services,Australia,Victoria,Service, 10-49,2017,2.0,82.1,20.6,9.5,10.8,12.9,26.5,0.8,0.0,0.0,0.0,1.0,2.9
Other personal services,Other services,Australia,Victoria,Service, 10-49,2014,3.0,80.0,20.0,6.9,12.6,12.2,23.9,0.8,0.0,0.0,0.0,3.1,2.9
Membership organizations,Other services,Australia,Victoria,Service, 1-9,2013,4.0,82.6,11.4,16.1,10.3,17.8,25.5,0.0,0.0,0.2,0.0,1.1,2.9
Environmental consulting,Professional & technical services,Switzerland,Canton of Fribourg,Service, 1-9,2024,1.0,81.8,9.6,16.2,11.0,14.4,24.1,2.2,0.0,0.0,0.0,4.1,3.5
Advertising & market research,Professional & technical services,Netherlands The,South Holland,Service, 1-9,2022,1.0,88.7,14.6,8.0,9.9,18.6,32.6,2.4,0.0,0.0,0.0,2.3,4.7
Financial transaction processing,Financial & insurance activities,Brazil,São Paulo,Service, 250-999,2024,1.0,84.6,13.9,16.1,6.5,11.3,28.2,0.4,0.0,0.0,0.0,8.0,0.8
Financial transaction processing,Financial & insurance activities,Brazil,São Paulo,Service, 50-249,2020,2.0,87.0,14.8,12.7,4.4,18.3,28.9,0.5,0.0,0.0,0.0,7.1,0.6
Equity investing - Developed Markets,Financial & insurance activities,Canada,Ontario,Service, 10-49,2020,1.0,88.6,14.2,21.5,6.9,8.9,29.4,2.2,0.0,0.0,0.0,5.2,0.9
Other/general wholesale trade,Wholesale,Netherlands The,North Brabant,Wholesale/Retail, 1-9,2023,1.0,88.3,16.2,2.2,31.1,13.9,21.8,0.0,0.0,0.0,0.0,3.0,3.4
Agicultural support/post-harvest,"Agriculture, forestry & fishing",United States,Maine,Manufacturing, 50-249,2021,1.0,81.8,14.2,4.0,23.7,17.6,20.5,0.0,0.0,1.1,0.0,0.5,2.2
Management consultant - for-profits,Professional & technical services,France,Île-de-France,Service, 1-9,2022,1.0,85.2,20.3,2.7,10.2,17.9,25.1,3.0,0.0,0.0,0.0,5.7,3.4
Food products,Wholesale,Netherlands The,Noord-Holland,Wholesale/Retail, 50-249,2020,1.0,125.0,41.3,4.3,28.5,19.7,24.5,2.4,0.0,0.5,0.0,3.5,7.9
Food products,Wholesale,Netherlands The,Noord-Holland,Wholesale/Retail, 50-249,2017,2.0,100.9,45.2,0.0,18.7,10.9,24.7,0.0,0.0,0.0,0.0,1.4,2.9
Food products,Wholesale,Netherlands The,Noord-Holland,Wholesale/Retail, 10-49,2014,3.0,113.1,47.3,0.0,23.7,11.0,27.7,0.0,0.0,2.0,0.0,1.4,2.9
Food products,Wholesale,Netherlands The,Noord-Holland,Wholesale/Retail, 10-49,2013,4.0,95.9,35.5,0.0,16.7,13.3,26.2,0.3,0.0,1.2,0.7,1.7,2.9
Mixed Farming,"Agriculture, forestry & fishing",United States,New Jersey,Manufacturing, 50-249,2020,1.0,83.0,17.6,4.5,22.6,16.8,20.6,0.6,0.0,0.0,0.0,0.0,3.8
Mixed Farming,"Agriculture, forestry & fishing",United States,New Jersey,Manufacturing, 50-249,2017,2.0,89.2,16.9,36.4,12.5,8.9,14.1,0.0,0.0,0.4,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,London Borough of Islington,Service, 1-9,2024,1.0,177.2,42.4,18.7,17.1,22.1,63.8,3.6,0.0,7.6,0.0,1.6,5.4
Management consultant - for-profits,Professional & technical services,United Kingdom,London Borough of Islington,Service, 1-9,2020,2.0,131.5,26.0,22.0,4.0,20.2,52.7,0.0,0.0,5.2,0.0,1.1,3.0
Computer programming services,"Information, communication & technology",Canada,Quebec,Service, 10-49,2024,1.0,82.2,16.0,2.4,8.9,18.8,32.0,2.2,0.0,0.0,0.0,1.5,3.4
Construction,Construction,Brazil,Paraná,Manufacturing, 50-249,2020,1.0,90.7,15.4,3.8,32.3,9.2,21.3,2.0,0.0,1.7,0.0,4.6,5.9
Other manufacturing,Manufactured Goods,Chile,Los Lagos Region,Manufacturing, 50-249,2020,1.0,82.8,29.3,3.4,6.9,13.2,24.6,1.4,0.3,0.0,0.0,3.4,1.3
Travel agency & related,Administrative & support services,Belgium,West Flanders,Service, 10-49,2022,1.0,83.9,25.5,2.7,10.8,17.0,25.0,0.0,0.0,0.0,0.0,2.5,3.6
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 10-49,2022,1.0,94.9,20.1,23.9,4.6,15.1,24.5,2.7,0.0,0.0,0.0,3.7,0.8
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 10-49,2019,2.0,80.1,18.7,18.5,4.6,7.6,24.2,2.5,0.0,0.0,0.0,3.6,0.8
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 10-49,2016,3.0,82.7,16.5,26.2,6.2,9.0,23.3,0.6,0.0,0.0,0.0,0.9,2.9
Beverages,Retail,United Kingdom,City of London,Wholesale/Retail, 1-9,2024,1.0,92.7,24.7,4.1,20.2,18.0,22.0,0.0,0.0,0.6,0.0,2.9,7.6
Beverages,Retail,United Kingdom,City of London,Wholesale/Retail, 1-9,2021,2.0,90.1,19.3,2.8,15.1,19.0,24.7,0.0,0.0,5.6,0.0,3.4,4.6
Rubber & plastics products,Manufactured Goods,Argentina,California,Manufacturing, 1-9,2025,1.0,99.7,10.7,2.2,42.9,15.2,19.0,2.3,0.0,0.5,0.0,6.7,2.8
Rubber & plastics products,Manufactured Goods,Argentina,Mendoza,Manufacturing, 10-49,2020,2.0,100.8,9.2,1.5,42.9,13.4,25.7,2.0,0.0,0.6,0.0,5.2,5.5
Management consultant - for-profits,Professional & technical services,Netherlands The,North Holland,Service, 50-249,2025,1.0,89.3,17.7,13.1,8.4,16.7,33.2,1.1,0.0,0.6,0.0,2.9,2.9
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,South Holland,Service, 10-49,2024,1.0,86.7,11.2,3.0,31.4,14.2,18.0,1.6,0.0,1.0,0.0,6.0,0.9
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,South Holland,Service, 10-49,2021,2.0,104.8,20.1,3.0,34.7,14.7,21.1,2.8,0.0,1.0,0.0,7.1,0.9
Steam & air conditioning,"Energy, Heating & Cooling",Brazil,São Paulo,Manufacturing, 250-999,2021,1.0,109.9,13.1,1.4,50.4,15.8,20.7,1.8,0.0,0.6,0.0,5.9,8.2
Steam & air conditioning,"Energy, Heating & Cooling",Brazil,São Paulo,Manufacturing, 50-249,2017,2.0,94.1,13.1,0.0,41.7,13.9,22.2,0.0,0.0,2.5,0.0,0.7,2.9
Steam & air conditioning,"Energy, Heating & Cooling",Brazil,São Paulo,Manufacturing, 50-249,2014,3.0,89.9,8.0,0.0,52.1,5.4,19.0,0.5,0.0,2.0,0.0,2.6,2.9
Beverages,Manufactured Goods,Australia,ACT,Manufacturing, 10-49,2021,1.0,102.4,19.8,1.7,41.0,16.8,18.6,0.3,0.0,0.8,0.0,3.0,7.1
Other/general wholesale trade,Wholesale,United Kingdom,London Borough of Lambeth,Wholesale/Retail, 50-249,2021,1.0,87.5,22.4,2.6,22.4,15.0,23.5,0.0,0.2,0.3,0.0,0.8,4.3
"Other professional, scientific & tech",Professional & technical services,Chile,Santiago Metropolitan Region,Service, 0,2024,1.0,117.1,34.2,45.9,10.1,18.2,23.9,4.3,0.0,4.1,0.0,1.7,0.8
"Other professional, scientific & tech",Professional & technical services,Chile,Santiago Metropolitan Region,Service, 0,2021,2.0,84.0,34.9,13.5,7.9,18.9,23.9,4.4,0.0,4.2,0.0,1.7,0.7
"Other professional, scientific & tech",Professional & technical services,Chile,Santiago Metropolitan Region,Service, 0,2017,3.0,89.7,46.9,18.7,15.0,7.4,23.9,0.0,0.0,1.7,0.0,1.7,2.9
Management consultant - nonprofits,Professional & technical services,United Kingdom,Wales,Service, 1-9,2021,1.0,86.6,24.0,8.9,9.0,17.0,21.1,2.9,0.0,1.6,0.0,1.8,2.7
Management consultant - nonprofits,Professional & technical services,United Kingdom,Wales,Service, 1-9,2018,2.0,81.5,24.5,21.1,5.3,5.9,21.0,0.9,0.0,0.6,0.0,1.7,2.9
Real estate - leased property,"Real estate, design & building",Italy,Torino,Service, 1-9,2021,1.0,105.3,30.9,4.3,30.5,21.2,9.9,0.0,0.0,5.5,0.0,2.5,0.9
Other manufacturing,Manufactured Goods,New Zealand,Waikato Region,Manufacturing, 10-49,2023,1.0,91.1,18.6,3.0,27.5,13.8,23.7,3.3,0.0,0.0,0.0,0.8,3.8
Engineering,Professional & technical services,France,Pays de la Loire,Service, 10-49,2024,1.0,99.7,15.9,15.4,12.4,21.5,27.3,2.3,0.0,0.0,0.0,4.6,3.9
Furniture,Wholesale,Australia,Western Australia,Wholesale/Retail, 1-9,2023,1.0,82.6,13.7,3.0,20.7,16.0,25.0,3.0,0.0,0.0,0.0,0.9,3.6
Food products,Manufactured Goods,United Kingdom,Devon,Manufacturing, 50-249,2024,1.0,96.0,19.4,4.6,23.3,17.3,27.5,0.0,0.0,2.2,0.0,1.3,8.5
Web portals,"Information, communication & technology",France,Brittany,Service, 10-49,2024,1.0,95.9,16.8,4.7,12.4,18.4,43.4,0.0,0.0,0.0,0.0,0.0,3.8
Web portals,"Information, communication & technology",France,Brittany,Service, 10-49,2020,2.0,89.3,16.6,4.7,12.8,16.1,34.2,0.0,0.0,0.0,0.0,4.6,4.2
Other info service activities,"Information, communication & technology",Italy,Metropolitan City of Milan,Service, 10-49,2020,1.0,84.6,20.1,5.4,10.1,18.5,22.4,2.8,0.0,0.0,0.0,5.0,0.8
Other info service activities,"Information, communication & technology",Italy,Metropolitan City of Milan,Service, 10-49,2017,2.0,80.1,25.7,3.0,10.9,11.0,27.4,1.0,0.0,0.0,0.0,1.1,2.9
Advertising & market research,Professional & technical services,United Kingdom,Kent,Service, 10-49,2020,1.0,91.3,13.2,4.5,13.1,18.7,37.3,1.9,0.0,0.9,0.0,1.2,4.6
Advertising & market research,Professional & technical services,United Kingdom,Devon,Service, 10-49,2024,1.0,81.2,17.5,3.4,3.0,20.4,29.9,1.6,0.0,3.6,0.0,1.5,2.0
"Other professional, scientific & tech",Professional & technical services,Mexico,Sinaloa,Service, 1-9,2025,1.0,85.0,15.0,3.3,17.4,18.3,20.4,2.1,0.0,0.2,0.0,7.9,1.3
"Other professional, scientific & tech",Professional & technical services,Mexico,Sinaloa,Service, 10-49,2021,2.0,80.0,12.3,1.7,19.7,17.7,19.8,1.5,0.0,0.2,0.0,6.7,0.6
"Other professional, scientific & tech",Professional & technical services,Mexico,Sinaloa,Service, 10-49,2018,3.0,81.5,17.2,0.0,20.3,11.3,29.0,1.6,0.0,1.8,0.0,0.0,2.9
Landscape services,Administrative & support services,United States,California,Service with Significant Environmental Footprint, 10-49,2024,1.0,102.1,20.8,2.7,31.9,16.0,22.3,3.7,0.0,4.1,0.0,0.2,3.2
Growing perennial crops,"Agriculture, forestry & fishing",Italy,Apulia,Agriculture/Growers, 1-9,2020,1.0,84.1,17.8,3.4,40.7,4.9,10.5,2.1,0.0,1.3,0.0,3.2,2.8
Apparel,Retail,Netherlands The,North Holland,Wholesale/Retail, 1-9,2024,1.0,86.9,17.3,5.0,24.0,16.0,22.1,0.0,0.0,0.0,0.0,2.3,1.8
